id	cases	file_name	md5sum	file_id	file_size
08b0fe4c-ee3c-4510-b75a-6d240cb038cc	[{'case_id': '4bf50455-9ab7-4521-a791-089f66d3b877'}]	e5bcd6f9-680e-4d57-81f3-c8e6b40bb2af.rna_seq.augmented_star_gene_counts.tsv	f23675ba05ec4a00ef5d6a304c9e31d9	08b0fe4c-ee3c-4510-b75a-6d240cb038cc	4255630
dbe79158-b616-4c7b-94d7-5f127b3013ff	[{'case_id': 'f947d67f-4aa2-4eb9-977e-21a5ae563613'}]	2dc9eaca-6dfc-4e7f-a12b-1495986e1ad4.rna_seq.augmented_star_gene_counts.tsv	320f2de487f52ed4b81e13c456d35d35	dbe79158-b616-4c7b-94d7-5f127b3013ff	4238991
a436c52a-e63f-4d61-bc60-eb497c196489	[{'case_id': 'a68a3361-48b4-4bd0-999d-b4cc3d43eb4a'}]	ff0feb3e-6d14-4297-ac23-1eb397663ec3.rna_seq.augmented_star_gene_counts.tsv	59f90ab7ce023db5cdc2cebaf24022ee	a436c52a-e63f-4d61-bc60-eb497c196489	4230062
e4086c26-d200-4e42-8249-ed8cbeec0951	[{'case_id': '96457ebf-ae88-41f4-97e5-cdc3163418aa'}]	99d31369-3db2-4631-bc62-1aa6927476ad.rna_seq.augmented_star_gene_counts.tsv	9e9e3b2b8fc975e2b157394d1b5660eb	e4086c26-d200-4e42-8249-ed8cbeec0951	4247932
08837ae7-6f4f-4aa1-8722-7c404b66ed75	[{'case_id': '30ec8b1f-28c4-4f46-8a1b-a8d51e558c7d'}]	828c9648-f725-4d7e-ad37-e33692e2c67f.rna_seq.augmented_star_gene_counts.tsv	4a2ea685b77b738475569a8c17e360d5	08837ae7-6f4f-4aa1-8722-7c404b66ed75	4242230
ad4b2d76-b4bb-457d-903f-823630a4d37b	[{'case_id': '0f64edec-0f1f-4025-8a53-75f9534f7828'}]	0940092b-46da-4975-bde7-f205fe12707b.rna_seq.augmented_star_gene_counts.tsv	bdce42c86cd0534dd4ed3e7bc239844d	ad4b2d76-b4bb-457d-903f-823630a4d37b	4236411
1f9a9190-4157-457e-9794-a9217d2aa2f8	[{'case_id': 'c2b104ee-f914-4e79-9e1b-56bf88157472'}]	cf4160bb-9ef4-43c1-ac83-f6ca897101ee.rna_seq.augmented_star_gene_counts.tsv	a64d7559982aa695e38e6ba5b64b3b44	1f9a9190-4157-457e-9794-a9217d2aa2f8	4248776
c95841fa-ea90-4a12-99aa-5c342af9e0e8	[{'case_id': '5258294f-ef5b-4091-9183-6bcc545d54b2'}]	4bd484be-2364-4a9c-841e-b60bee25af79.rna_seq.augmented_star_gene_counts.tsv	bec61cd1fcd18ee05d1d3db42d8b05bf	c95841fa-ea90-4a12-99aa-5c342af9e0e8	4256504
cd417f4e-c065-4e73-a7c7-955b2fe71add	[{'case_id': '5ed024e8-d05e-4c65-9441-eda9930ccc82'}]	d05914c2-e76a-4050-b0bf-db3a08c1892e.rna_seq.augmented_star_gene_counts.tsv	cc8a463f93107abbe2534817211a310e	cd417f4e-c065-4e73-a7c7-955b2fe71add	4255585
90cb5f76-ec86-4532-8352-e6622ef24980	[{'case_id': '90ff48c3-b14b-4a8b-94a1-98c0bab0d27b'}]	01900aab-4c12-4198-b41f-ff638e5abe3b.rna_seq.augmented_star_gene_counts.tsv	68fe192fa67c9924bdcd324dd699a094	90cb5f76-ec86-4532-8352-e6622ef24980	4244868
c71bfebf-e152-4706-bd72-07103f936a85	[{'case_id': '2476dda9-da2a-4242-9642-b92b8b9b1c79'}]	b35a11fb-548c-4b6c-99e7-c4114be6411a.rna_seq.augmented_star_gene_counts.tsv	8f9009161ce30dc51a3b8ae9067c7360	c71bfebf-e152-4706-bd72-07103f936a85	4237997
ef227e3c-7a6d-4c43-945f-c1c7b410d50b	[{'case_id': '029ce650-5e5a-4100-8596-cd94300e7ef5'}]	dbb2f12c-e200-412a-9023-0126d6d69a52.rna_seq.augmented_star_gene_counts.tsv	fe6aaaa0d49b064965f9e661f497758d	ef227e3c-7a6d-4c43-945f-c1c7b410d50b	4229929
76367cee-b571-49e5-8121-9e69f906c230	[{'case_id': '0ed9ad26-7fdc-4d75-93f9-d029eee94993'}]	370e6381-c31a-475b-b2c7-2c5de9e2c8ec.rna_seq.augmented_star_gene_counts.tsv	b1b4376814fb72021f3f9d939976742f	76367cee-b571-49e5-8121-9e69f906c230	4243147
537ec810-35bc-47d8-8242-72ef91cd63e0	[{'case_id': 'a4903de8-6cf5-4541-8ec7-065beace8b44'}]	3ee530ee-274d-44de-9793-a75433ddf938.rna_seq.augmented_star_gene_counts.tsv	6d261f8386fd19ceb29f6c4f8a0b9b04	537ec810-35bc-47d8-8242-72ef91cd63e0	4242192
2a18db7b-b054-4210-b8cb-a647c26f90c1	[{'case_id': 'dd3bfb26-b534-4917-9c4d-9fe7b6477762'}]	5dfb4024-ca51-4296-9fc7-0037b7b1e27b.rna_seq.augmented_star_gene_counts.tsv	c5810a1c261bccd8a544d28f2df21cfe	2a18db7b-b054-4210-b8cb-a647c26f90c1	4237375
